,statuses_count,followers_count,friends_count,favourites_count,listed_count,is_default_profile,is_profile_use_background_image,is_verified,user_age,tweets_freq,followers_growth_rate,friends_growth_rate,favourites_growth_rate,listed_growth_rate,followers_friends_ratio,screen_name_length,num_digits_in_screen_name,length_of_name,num_digits_in_name,description_length,is_bot
0,117922,188419,857,628,432,0,0,1,4382,26.910543130990416,42.998402555910545,0.19557279780921955,0.14331355545413055,0.0985851209493382,219.8588098016336,9,2,9,2,152,0
1,176250,180759,905,11608,1119,0,1,1,5048,34.914817749603806,35.80804278922346,0.17927892234548337,2.299524564183835,0.22167194928684628,199.73370165745857,4,0,15,2,89,0
2,34918,19311,1472,0,675,0,1,1,4451,7.84497865648169,4.338575600988542,0.33071219950572905,0.0,0.1516513143113907,13.118885869565217,14,0,15,0,147,0
3,669,398,185,12798,5,0,0,1,3478,0.1923519263944796,0.1144335825186889,0.05319148936170213,3.679700977573318,0.001437607820586544,2.151351351351351,11,0,12,0,80,0
4,16341,7125,4431,2135,160,0,1,1,4309,3.7922951961011835,1.6535158969598516,1.0283128336040845,0.4954745880714783,0.037131585054537015,1.6079891672308735,10,0,16,0,128,0
5,2546,213,775,3586,2,1,1,1,1105,2.304072398190045,0.19276018099547512,0.7013574660633484,3.2452488687782806,0.0018099547511312218,0.27483870967741936,15,0,10,0,139,0
6,13366,23169,6581,48014,1213,0,1,1,4431,3.0164748363800498,5.2288422477995935,1.4852177837959828,10.835928684269916,0.2737531031369894,3.520589576052272,7,0,45,0,160,0
7,54373,102008,2870,231,2050,1,1,1,4304,12.633131970260223,23.700743494423794,0.66682156133829,0.05367100371747212,0.4763011152416357,35.542857142857144,8,0,12,0,50,0
8,133,11957,3813,22361,528,1,1,1,4550,0.02923076923076923,2.627912087912088,0.838021978021978,4.9145054945054945,0.11604395604395605,3.135851035929714,12,0,13,0,153,0
9,1319,318,623,291,5,0,0,1,1497,0.8810955243820975,0.2124248496993988,0.41616566466265864,0.19438877755511022,0.0033400133600534404,0.5104333868378812,11,0,12,0,71,0
10,8229,21822,917,3828,273,0,0,1,4216,1.9518500948766604,5.175996204933586,0.21750474383301707,0.9079696394686907,0.06475332068311196,23.797164667393677,12,0,13,0,160,0
11,4194,11121,8660,4956,189,1,1,1,4375,0.9586285714285714,2.5419428571428573,1.9794285714285715,1.1328,0.0432,1.2841801385681293,9,0,10,0,109,0
12,4031,6076,255,633,122,0,1,1,3127,1.2890949792133035,1.9430764310841062,0.08154780940198274,0.20243044451551007,0.03901503038055645,23.827450980392157,12,0,14,0,158,0
13,42980,3291,1202,28728,112,0,1,1,5199,8.266974418157337,0.6330063473744951,0.2311983073668013,5.525678015002885,0.021542604346989805,2.737936772046589,10,0,5,0,125,0
14,11201,5825,591,6063,67,1,1,1,4538,2.4682679594535037,1.2836051123843102,0.13023358307624505,1.3360511238431028,0.014764213309828118,9.856175972927241,12,0,12,0,77,0
15,17450,7073,3072,14804,206,0,0,1,4292,4.065703634669152,1.6479496738117427,0.7157502329916123,3.4492078285181735,0.04799627213420317,2.3024088541666665,15,0,16,0,152,0
16,64879,6777,862,8746,262,0,1,1,4470,14.514317673378075,1.5161073825503355,0.19284116331096196,1.956599552572707,0.05861297539149888,7.861948955916473,10,0,18,0,160,0
17,17708,5721,310,1697,104,1,1,1,3296,5.372572815533981,1.735740291262136,0.09405339805825243,0.5148665048543689,0.03155339805825243,18.454838709677418,7,1,18,0,71,0
18,1114,2231,148,253,73,0,1,1,2736,0.4071637426900585,0.8154239766081871,0.054093567251461985,0.09247076023391813,0.0266812865497076,15.074324324324325,13,1,10,0,48,0
19,31181,5913,1674,761,122,1,1,1,3424,9.10660046728972,1.7269275700934579,0.4889018691588785,0.22225467289719625,0.035630841121495324,3.532258064516129,10,1,15,0,160,0
20,26013,510777,1280,659,2525,0,1,1,4434,5.866711772665765,115.19553450608932,0.2886783942264321,0.14862426702751466,0.5694632386107352,399.04453125,12,0,13,0,79,0
21,67006,731561,1600,185,10957,1,1,1,4676,14.329769033361847,156.45017108639863,0.3421727972626176,0.03956372968349016,2.343242087254063,457.225625,11,0,10,0,108,0
22,175494,238755,1699,6794,1975,0,1,1,4866,36.065351418002464,49.06596794081381,0.3491574188244965,1.3962186600904234,0.4058775174681463,140.52678045909357,7,1,7,1,140,0
23,14206,353935,667,9580,1031,0,1,1,3187,4.457483526827738,111.055851898337,0.20928773140884846,3.0059617194854096,0.3235017257609037,530.6371814092954,3,0,14,0,79,0
24,2798,48820,577,6777,547,0,1,1,4517,0.6194376798760239,10.808058445871154,0.12773965021031658,1.5003320788133716,0.12109807394288244,84.61005199306759,10,0,11,0,68,0
25,130551,27885,1701,16036,880,0,1,1,4506,28.97270306258322,6.188415446071904,0.3774966711051931,3.5588104749223257,0.19529516200621394,16.393298059964728,12,0,9,0,116,0
26,38694,8204,5757,13046,340,0,1,1,4520,8.560619469026548,1.8150442477876105,1.2736725663716815,2.886283185840708,0.0752212389380531,1.4250477679346882,10,0,10,0,158,0
27,7954,40666,2316,16560,485,0,1,1,4445,1.7894263217097863,9.148706411698537,0.5210348706411698,3.7255343082114734,0.10911136107986502,17.558721934369604,11,0,12,0,79,0
28,28967,10258,8804,34568,502,0,1,1,4754,6.093184686579722,2.1577618847286497,1.8519141775347077,7.2713504417332775,0.1055952881783761,1.1651522035438437,12,0,13,0,145,0
29,20797,2612,3342,1347,53,1,1,1,3189,6.521480087801819,0.8190655377861399,1.0479774223894638,0.42238946378174974,0.016619629978049544,0.7815679233991621,14,0,11,0,141,0
30,11106,4629,1109,3317,179,0,1,1,4597,2.4159234283228193,1.0069610615618882,0.24124428975418752,0.7215575375244725,0.03893843811181205,4.174030658250676,6,0,10,0,74,0
31,49978,4889,2382,8607,254,0,1,1,4438,11.261378999549347,1.101622352410996,0.5367282559711581,1.9393871113114016,0.05723298783235692,2.05247691015953,11,0,22,0,143,0
